# t x y z qx qy qz qw
0.000000 0.680085 0.350597 0.276874 -0.574906 0.532518 -0.408150 0.468317
0.010000 0.680101 0.350567 0.276873 -0.574895 0.532533 -0.408158 0.468308
0.020000 0.680116 0.350538 0.276874 -0.574883 0.532544 -0.408169 0.468299
0.030000 0.680128 0.350515 0.276875 -0.574874 0.532554 -0.408176 0.468294
0.040000 0.680141 0.350490 0.276874 -0.574864 0.532565 -0.408183 0.468286
0.050000 0.680152 0.350467 0.276874 -0.574856 0.532574 -0.408190 0.468280
0.060000 0.680163 0.350448 0.276876 -0.574847 0.532583 -0.408196 0.468276
0.070000 0.680177 0.350419 0.276876 -0.574838 0.532594 -0.408206 0.468266
0.080000 0.680193 0.350391 0.276876 -0.574824 0.532608 -0.408213 0.468260
0.090000 0.680206 0.350366 0.276877 -0.574814 0.532620 -0.408220 0.468253
0.100000 0.680222 0.350337 0.276881 -0.574803 0.532631 -0.408225 0.468250
0.110000 0.680228 0.350335 0.276891 -0.574808 0.532622 -0.408203 0.468273
0.120000 0.680229 0.350357 0.276905 -0.574834 0.532592 -0.408141 0.468330
0.130000 0.680229 0.350386 0.276921 -0.574868 0.532554 -0.408060 0.468402
0.140000 0.680216 0.350449 0.276935 -0.574933 0.532489 -0.407914 0.468522
0.150000 0.680197 0.350521 0.276951 -0.575011 0.532417 -0.407739 0.468662
0.160000 0.680178 0.350600 0.276974 -0.575088 0.532345 -0.407547 0.468816
0.170000 0.680164 0.350672 0.277000 -0.575156 0.532279 -0.407369 0.468961
0.180000 0.680152 0.350749 0.277032 -0.575239 0.532197 -0.407155 0.469138
0.190000 0.680142 0.350814 0.277064 -0.575314 0.532120 -0.406966 0.469297
0.200000 0.680138 0.350876 0.277107 -0.575377 0.532047 -0.406794 0.469453
0.210000 0.680142 0.350919 0.277143 -0.575426 0.531988 -0.406655 0.469580
0.220000 0.680153 0.350965 0.277192 -0.575483 0.531916 -0.406484 0.469741
0.230000 0.680166 0.350995 0.277226 -0.575531 0.531861 -0.406335 0.469872
0.240000 0.680180 0.351024 0.277261 -0.575591 0.531795 -0.406161 0.470023
0.250000 0.680196 0.351041 0.277296 -0.575636 0.531747 -0.406007 0.470156
0.260000 0.680223 0.351042 0.277338 -0.575673 0.531705 -0.405848 0.470295
0.270000 0.680251 0.351031 0.277375 -0.575703 0.531670 -0.405721 0.470408
0.280000 0.680283 0.351028 0.277415 -0.575750 0.531607 -0.405574 0.470549
0.290000 0.680318 0.351028 0.277459 -0.575791 0.531541 -0.405447 0.470682
0.300000 0.680363 0.351014 0.277497 -0.575829 0.531475 -0.405339 0.470803
0.310000 0.680414 0.350988 0.277529 -0.575863 0.531415 -0.405239 0.470916
0.320000 0.680473 0.350944 0.277556 -0.575887 0.531366 -0.405151 0.471017
0.330000 0.680534 0.350901 0.277578 -0.575915 0.531313 -0.405057 0.471123
0.340000 0.680591 0.350872 0.277600 -0.575960 0.531244 -0.404941 0.471245
0.350000 0.680647 0.350840 0.277616 -0.576007 0.531177 -0.404830 0.471359
0.360000 0.680707 0.350788 0.277621 -0.576044 0.531129 -0.404736 0.471448
0.370000 0.680769 0.350724 0.277630 -0.576066 0.531098 -0.404662 0.471520
0.380000 0.680826 0.350658 0.277639 -0.576078 0.531076 -0.404611 0.471575
0.390000 0.680878 0.350602 0.277647 -0.576094 0.531051 -0.404555 0.471632
0.400000 0.680925 0.350557 0.277656 -0.576115 0.531021 -0.404493 0.471693
0.410000 0.680965 0.350517 0.277663 -0.576133 0.530995 -0.404439 0.471746
0.420000 0.681003 0.350481 0.277668 -0.576155 0.530968 -0.404381 0.471800
0.430000 0.681038 0.350453 0.277677 -0.576179 0.530934 -0.404322 0.471859
0.440000 0.681069 0.350425 0.277684 -0.576195 0.530910 -0.404277 0.471905
0.450000 0.681095 0.350394 0.277684 -0.576210 0.530893 -0.404239 0.471938
0.460000 0.681107 0.350355 0.277659 -0.576236 0.530879 -0.404208 0.471949
0.470000 0.681106 0.350314 0.277614 -0.576270 0.530869 -0.404171 0.471949
0.480000 0.681104 0.350275 0.277571 -0.576301 0.530864 -0.404139 0.471945
0.490000 0.681088 0.350238 0.277511 -0.576343 0.530857 -0.404102 0.471934
0.500000 0.681064 0.350208 0.277442 -0.576392 0.530847 -0.404057 0.471923
0.510000 0.681031 0.350186 0.277368 -0.576453 0.530830 -0.404003 0.471915
0.520000 0.680987 0.350170 0.277284 -0.576520 0.530811 -0.403948 0.471900
0.529999 0.680950 0.350153 0.277212 -0.576573 0.530802 -0.403907 0.471882
0.539999 0.680914 0.350133 0.277135 -0.576627 0.530794 -0.403864 0.471861
0.549999 0.680885 0.350115 0.277070 -0.576674 0.530785 -0.403826 0.471846
0.559999 0.680843 0.350109 0.276993 -0.576738 0.530765 -0.403771 0.471837
0.569999 0.680804 0.350104 0.276920 -0.576801 0.530743 -0.403715 0.471832
0.579999 0.680775 0.350101 0.276869 -0.576853 0.530720 -0.403670 0.471834
0.589999 0.680739 0.350111 0.276817 -0.576911 0.530691 -0.403613 0.471845
0.599999 0.680715 0.350119 0.276779 -0.576950 0.530673 -0.403575 0.471849
0.609999 0.680711 0.350127 0.276773 -0.576963 0.530663 -0.403556 0.471861
0.619999 0.680711 0.350131 0.276775 -0.576969 0.530655 -0.403546 0.471871
0.629999 0.680712 0.350136 0.276779 -0.576974 0.530646 -0.403538 0.471882
0.639999 0.680710 0.350149 0.276783 -0.576986 0.530631 -0.403519 0.471901
0.649999 0.680710 0.350158 0.276786 -0.576998 0.530617 -0.403498 0.471920
0.659999 0.680716 0.350162 0.276789 -0.577010 0.530600 -0.403473 0.471945
0.669999 0.680721 0.350162 0.276791 -0.577021 0.530587 -0.403452 0.471965
0.679999 0.680728 0.350162 0.276791 -0.577038 0.530568 -0.403421 0.471991
0.689999 0.680734 0.350163 0.276792 -0.577055 0.530549 -0.403393 0.472017
0.699999 0.680742 0.350163 0.276795 -0.577065 0.530535 -0.403370 0.472039
0.709999 0.680753 0.350157 0.276802 -0.577070 0.530524 -0.403354 0.472059
0.719999 0.680766 0.350147 0.276805 -0.577078 0.530512 -0.403336 0.472078
0.729999 0.680777 0.350140 0.276807 -0.577088 0.530500 -0.403311 0.472100
0.739999 0.680789 0.350128 0.276807 -0.577100 0.530487 -0.403287 0.472122
0.749999 0.680805 0.350114 0.276809 -0.577111 0.530473 -0.403261 0.472146
0.759999 0.680824 0.350096 0.276812 -0.577121 0.530460 -0.403235 0.472172
0.769999 0.680840 0.350084 0.276817 -0.577133 0.530443 -0.403207 0.472200
0.779999 0.680859 0.350080 0.276823 -0.577164 0.530403 -0.403147 0.472257
