# t x y z qx qy qz qw
0.000000 0.680439 0.350401 0.278489 -0.578645 0.534203 -0.405451 0.464119
0.010000 0.680478 0.350486 0.278482 -0.578724 0.534242 -0.405110 0.464273
0.020000 0.680517 0.350570 0.278476 -0.578803 0.534282 -0.404769 0.464427
0.030000 0.680557 0.350655 0.278469 -0.578882 0.534321 -0.404427 0.464580
0.040000 0.680596 0.350740 0.278463 -0.578961 0.534360 -0.404086 0.464734
0.050000 0.680599 0.350744 0.278462 -0.578965 0.534362 -0.404068 0.464742
0.060000 0.680599 0.350744 0.278462 -0.578965 0.534362 -0.404068 0.464742
0.070000 0.680599 0.350744 0.278462 -0.578965 0.534362 -0.404068 0.464743
0.080000 0.680261 0.351020 0.278574 -0.578906 0.533816 -0.403578 0.465868
0.090000 0.679687 0.351491 0.278765 -0.578803 0.532885 -0.402743 0.467781
0.100000 0.679113 0.351961 0.278955 -0.578696 0.531952 -0.401906 0.469691
0.110000 0.678540 0.352431 0.279146 -0.578587 0.531015 -0.401067 0.471599
0.120000 0.678221 0.352689 0.279267 -0.578544 0.530512 -0.400467 0.472727
0.130000 0.678212 0.352690 0.279304 -0.578584 0.530537 -0.400161 0.472909
0.140000 0.678203 0.352692 0.279341 -0.578624 0.530561 -0.399854 0.473092
0.150000 0.678194 0.352693 0.279378 -0.578663 0.530586 -0.399548 0.473274
0.160000 0.678200 0.352692 0.279353 -0.578637 0.530569 -0.399756 0.473150
0.170000 0.678221 0.352689 0.279267 -0.578544 0.530511 -0.400472 0.472724
0.180000 0.678212 0.352690 0.279303 -0.578583 0.530536 -0.400166 0.472906
0.190000 0.678203 0.352692 0.279340 -0.578623 0.530561 -0.399859 0.473089
0.200000 0.678194 0.352693 0.279377 -0.578663 0.530585 -0.399553 0.473271
0.210000 0.678188 0.352694 0.279404 -0.578692 0.530603 -0.399328 0.473405
0.220000 0.678188 0.352694 0.279404 -0.578693 0.530603 -0.399328 0.473405
0.230000 0.678188 0.352694 0.279404 -0.578693 0.530603 -0.399328 0.473405
0.240000 0.678187 0.352693 0.279404 -0.578693 0.530603 -0.399327 0.473405
0.250000 0.678696 0.352789 0.279382 -0.578325 0.530791 -0.398995 0.473924
0.260000 0.679233 0.352890 0.279358 -0.577936 0.530989 -0.398642 0.474474
0.270000 0.679771 0.352990 0.279335 -0.577546 0.531187 -0.398290 0.475022
0.280000 0.680308 0.353091 0.279311 -0.577156 0.531384 -0.397937 0.475571
0.290000 0.680427 0.353052 0.279387 -0.577102 0.531355 -0.397794 0.475789
0.300000 0.680416 0.352970 0.279494 -0.577150 0.531257 -0.397714 0.475906
0.310000 0.680406 0.352888 0.279601 -0.577199 0.531158 -0.397635 0.476023
0.320000 0.680396 0.352805 0.279708 -0.577248 0.531060 -0.397556 0.476141
0.330000 0.680423 0.353023 0.279425 -0.577119 0.531320 -0.397765 0.475831
0.340000 0.680426 0.353051 0.279389 -0.577103 0.531354 -0.397793 0.475791
0.350000 0.680416 0.352969 0.279495 -0.577151 0.531255 -0.397713 0.475908
0.360000 0.680406 0.352886 0.279602 -0.577200 0.531157 -0.397634 0.476025
0.370000 0.680396 0.352804 0.279709 -0.577248 0.531059 -0.397555 0.476142
0.380000 0.680392 0.352772 0.279750 -0.577267 0.531021 -0.397524 0.476188
0.390000 0.680392 0.352772 0.279750 -0.577267 0.531021 -0.397524 0.476188
0.400000 0.680392 0.352772 0.279750 -0.577267 0.531021 -0.397524 0.476187
0.410000 0.680259 0.352677 0.279715 -0.577415 0.530781 -0.397738 0.476097
0.420000 0.679793 0.352344 0.279593 -0.577932 0.529942 -0.398484 0.475780
0.430000 0.679327 0.352010 0.279470 -0.578448 0.529102 -0.399230 0.475462
0.440000 0.678861 0.351677 0.279348 -0.578963 0.528261 -0.399975 0.475144
0.450000 0.678443 0.351380 0.279248 -0.579432 0.527499 -0.400624 0.474872
0.460000 0.678416 0.351379 0.279333 -0.579519 0.527395 -0.400484 0.475000
0.470000 0.678390 0.351377 0.279418 -0.579607 0.527291 -0.400343 0.475127
0.480000 0.678363 0.351376 0.279503 -0.579694 0.527187 -0.400202 0.475254
0.490000 0.678336 0.351375 0.279589 -0.579782 0.527083 -0.400062 0.475381
0.500000 0.678443 0.351380 0.279246 -0.579429 0.527500 -0.400629 0.474871
0.510000 0.678416 0.351379 0.279332 -0.579517 0.527396 -0.400488 0.474998
0.520000 0.678390 0.351378 0.279417 -0.579604 0.527292 -0.400347 0.475125
0.529999 0.678363 0.351377 0.279502 -0.579692 0.527188 -0.400206 0.475253
0.539999 0.678337 0.351376 0.279587 -0.579779 0.527084 -0.400066 0.475380
0.549999 0.678335 0.351376 0.279594 -0.579785 0.527076 -0.400055 0.475390
0.559999 0.678335 0.351376 0.279594 -0.579785 0.527076 -0.400056 0.475390
0.569999 0.678334 0.351376 0.279594 -0.579785 0.527076 -0.400056 0.475390
0.579999 0.679754 0.351980 0.278601 -0.578880 0.530079 -0.397968 0.474906
0.589999 0.679766 0.351929 0.278712 -0.578906 0.530016 -0.397859 0.475037
0.599999 0.679778 0.351878 0.278824 -0.578932 0.529952 -0.397749 0.475168
0.609999 0.679790 0.351827 0.278936 -0.578958 0.529888 -0.397640 0.475298
0.619999 0.679798 0.351770 0.279053 -0.578984 0.529817 -0.397546 0.475424
0.629999 0.679801 0.351700 0.279179 -0.579010 0.529733 -0.397480 0.475542
0.639999 0.679803 0.351630 0.279305 -0.579036 0.529649 -0.397414 0.475659
0.649999 0.679806 0.351560 0.279431 -0.579062 0.529564 -0.397348 0.475776
0.659999 0.679806 0.351557 0.279435 -0.579063 0.529561 -0.397346 0.475781
0.669999 0.679798 0.351778 0.279038 -0.578982 0.529827 -0.397552 0.475411
0.679999 0.679801 0.351708 0.279164 -0.579008 0.529742 -0.397487 0.475528
0.689999 0.679803 0.351638 0.279290 -0.579034 0.529658 -0.397421 0.475645
0.699999 0.679806 0.351568 0.279416 -0.579060 0.529574 -0.397355 0.475763
0.709999 0.679808 0.351502 0.279534 -0.579084 0.529495 -0.397293 0.475872
0.719999 0.679808 0.351502 0.279534 -0.579085 0.529495 -0.397293 0.475872
0.729999 0.679808 0.351502 0.279534 -0.579085 0.529496 -0.397292 0.475872
0.739999 0.679808 0.351502 0.279534 -0.579085 0.529496 -0.397292 0.475872
0.749999 0.679907 0.351546 0.279462 -0.579541 0.529020 -0.396699 0.476341
0.759999 0.680020 0.351596 0.279379 -0.580060 0.528476 -0.396023 0.476875
0.769999 0.680132 0.351646 0.279297 -0.580578 0.527931 -0.395346 0.477409
0.779999 0.680245 0.351696 0.279214 -0.581096 0.527386 -0.394668 0.477942
0.789999 0.680259 0.351647 0.279299 -0.581253 0.527182 -0.394410 0.478190
0.799999 0.680240 0.351566 0.279440 -0.581288 0.527092 -0.394292 0.478343
0.809999 0.680221 0.351484 0.279580 -0.581324 0.527001 -0.394175 0.478496
0.819999 0.680202 0.351403 0.279721 -0.581359 0.526911 -0.394057 0.478649
0.829999 0.680250 0.351606 0.279370 -0.581270 0.527136 -0.394351 0.478267
0.839999 0.680259 0.351647 0.279299 -0.581253 0.527182 -0.394410 0.478190
0.849999 0.680240 0.351566 0.279440 -0.581288 0.527091 -0.394292 0.478343
0.859999 0.680221 0.351484 0.279580 -0.581324 0.527001 -0.394175 0.478497
0.869999 0.680202 0.351402 0.279721 -0.581359 0.526911 -0.394057 0.478650
0.879999 0.680194 0.351368 0.279779 -0.581374 0.526873 -0.394008 0.478713
0.889999 0.680194 0.351368 0.279779 -0.581374 0.526873 -0.394008 0.478713
0.899999 0.680194 0.351368 0.279779 -0.581374 0.526873 -0.394008 0.478713
0.909999 0.680264 0.351238 0.279841 -0.581344 0.526742 -0.394203 0.478734
0.919999 0.680520 0.350757 0.280068 -0.581233 0.526261 -0.394916 0.478810
0.929999 0.680777 0.350277 0.280294 -0.581122 0.525778 -0.395630 0.478885
0.939999 0.681033 0.349797 0.280521 -0.581011 0.525296 -0.396343 0.478960
0.949999 0.681259 0.349359 0.280736 -0.580915 0.524856 -0.396970 0.479040
0.959999 0.681230 0.349267 0.280857 -0.580951 0.524762 -0.396889 0.479166
0.969999 0.681200 0.349174 0.280978 -0.580986 0.524668 -0.396809 0.479293
0.979999 0.681171 0.349081 0.281099 -0.581022 0.524574 -0.396728 0.479419
0.989999 0.681142 0.348989 0.281219 -0.581057 0.524481 -0.396647 0.479545
0.999999 0.681259 0.349361 0.280734 -0.580914 0.524857 -0.396972 0.479038
1.009999 0.681230 0.349268 0.280855 -0.580950 0.524763 -0.396891 0.479164
1.019999 0.681201 0.349175 0.280976 -0.580985 0.524670 -0.396810 0.479290
1.029999 0.681172 0.349083 0.281097 -0.581021 0.524576 -0.396730 0.479417
1.039999 0.681143 0.348990 0.281218 -0.581056 0.524482 -0.396649 0.479543
1.049999 0.681141 0.348984 0.281226 -0.581059 0.524476 -0.396643 0.479552
1.059999 0.681141 0.348984 0.281226 -0.581059 0.524476 -0.396643 0.479552
1.069999 0.681141 0.348984 0.281226 -0.581059 0.524476 -0.396643 0.479552
1.079999 0.681004 0.348882 0.281132 -0.581019 0.524721 -0.396645 0.479330
1.089999 0.680778 0.348713 0.280976 -0.580954 0.525127 -0.396647 0.478962
1.099999 0.680552 0.348545 0.280820 -0.580889 0.525533 -0.396648 0.478595
1.109999 0.680325 0.348376 0.280665 -0.580823 0.525939 -0.396650 0.478227
1.119999 0.680187 0.348233 0.280627 -0.580819 0.526109 -0.396636 0.478057
1.129999 0.680152 0.348119 0.280729 -0.580886 0.526000 -0.396604 0.478121
1.139999 0.680118 0.348005 0.280831 -0.580954 0.525892 -0.396572 0.478185
1.149999 0.680083 0.347892 0.280933 -0.581021 0.525783 -0.396540 0.478249
1.159999 0.680107 0.347970 0.280863 -0.580974 0.525858 -0.396563 0.478205
1.169999 0.680188 0.348237 0.280623 -0.580816 0.526112 -0.396638 0.478055
1.179999 0.680153 0.348123 0.280726 -0.580883 0.526004 -0.396606 0.478119
1.189999 0.680119 0.348009 0.280828 -0.580951 0.525895 -0.396574 0.478184
1.199999 0.680084 0.347896 0.280930 -0.581018 0.525786 -0.396542 0.478248
1.209999 0.680059 0.347811 0.281006 -0.581068 0.525706 -0.396519 0.478295
1.219999 0.680059 0.347812 0.281006 -0.581068 0.525705 -0.396519 0.478296
1.229999 0.680059 0.347812 0.281006 -0.581067 0.525705 -0.396520 0.478296
1.239999 0.680058 0.347812 0.281006 -0.581067 0.525705 -0.396520 0.478296
1.249999 0.680251 0.347855 0.280769 -0.581203 0.525517 -0.396269 0.478546
1.259999 0.680456 0.347901 0.280516 -0.581349 0.525315 -0.396000 0.478812
1.269999 0.680661 0.347947 0.280262 -0.581495 0.525114 -0.395731 0.479078
1.279999 0.680866 0.347993 0.280009 -0.581641 0.524912 -0.395462 0.479344
1.289999 0.680880 0.347894 0.280096 -0.581691 0.524755 -0.395387 0.479517
1.299999 0.680836 0.347752 0.280283 -0.581712 0.524612 -0.395371 0.479661
1.309999 0.680792 0.347610 0.280471 -0.581734 0.524468 -0.395354 0.479806
1.319999 0.680749 0.347468 0.280659 -0.581755 0.524325 -0.395338 0.479951
